500108020,7.5,8,7,8,7,6,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
500110490,7.4,7,5,7,7,7,7,4,5,4,5,4,3,4,2,3,5,5,5,5,5,5,5,5
500108261,7.5,8,7,9,8,7,7,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
500105401,9,10,10,9,8,9,10,4,2,4,2,2,5,5,5,5,1,5,3,4,3,4,1,1
500107565,8.3,8,8,6,9,10,9,3,4,5,3,3,4,5,4,2,2,2,4,3,5,4,4,3
500109927,5,7,7,8,0,6,8,5,5,3,4,5,5,1,4,5,4,5,5,5,5,5,1,1
500109754,7.1,6,5,8,7,4,8,5,5,3,4,3,4,4,4,4,3,4,3,3,3,4,5,5
500108707,8.4,8,8,6,7,9,7,3,4,5,3,4,4,4,5,3,5,5,4,4,4,4,4,3
500101726,8,8,8,8,6,9,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
500101897,7.9,8,8,9,8,8,8,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,4,4
500105642,7.5,10,8,6,4,6,6,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4
500101970,7.9,7,8,8,6,8,7,3,4,4,3,4,4,4,4,5,5,5,4,5,4,4,4,4
500093950,7.9,7,7,6,8,8,8,3,4,2,5,3,3,3,3,5,5,3,3,3,3,3,4,4
500107193,7.8,7,6,9,7,7,4,4,3,1,3,1,2,4,4,5,5,4,5,3,5,5,4,3
500102243,7.5,7,8,9,6,6,6,3,5,2,5,5,5,5,5,3,4,4,4,4,4,4,4,3
500107761,5,0,6,6,0,6,6,3,2,3,2,1,1,1,2,2,2,2,1,1,1,1,1,3
500107156,7.2,7,7,6,7,9,6,2,2,4,3,2,2,5,4,3,2,3,2,2,2,2,2,2
500105545,8.7,9,9,8,10,9,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
500111697,7.1,7,6,6,7,8,6,4,5,5,2,3,4,3,4,4,3,4,5,5,3,4,5,3
500110794,7.6,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
500106951,8.9,8,8,9,8,9,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
500109330,7.4,9,7,8,6,7,7,4,5,5,2,3,5,3,5,5,5,5,5,5,4,5,2,2
500109627,9,10,9,10,10,9,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
500105016,8.2,9,6,9,8,9,7,5,3,4,5,5,4,4,4,3,3,4,5,4,2,4,3,3
500109497,9.2,9,9,9,6,10,10,3,4,5,3,3,4,2,4,3,2,5,3,3,4,2,1,2
500107049,9.8,10,10,9,10,10,10,2,3,3,4,2,4,4,5,5,5,5,3,3,3,1,1,1
500105700,7.4,8,6,8,6,4,6,4,4,3,2,2,3,4,2,3,3,4,3,3,3,2,3,3
500110607,7.2,7,3,8,0,8,4,5,5,5,1,2,5,5,4,2,1,2,5,2,5,5,4,5
500108706,8.3,9,9,9,8,6,9,3,4,4,3,5,5,4,3,4,5,4,3,4,4,3,5,5
500107615,7.9,8,9,8,8,8,8,4,4,4,5,5,4,4,5,5,4,4,4,3,5,5,5,5
500107148,8,10,9,10,9,8,9,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4
500083620,9.7,10,9,9,10,10,10,3,4,1,5,5,5,1,3,5,5,3,3,3,5,1,4,3
500105682,7.2,6,6,8,8,8,6,4,5,4,3,3,3,4,4,5,3,4,3,3,4,3,5,4
500096292,8.7,10,8,9,8,7,8,3,2,4,3,3,2,2,2,2,3,2,3,2,2,2,3,2
500093995,7.5,8,9,8,6,6,6,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
500107366,8.2,7,6,8,8,9,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
500083540,9.1,9,9,8,8,9,8,4,4,1,3,2,5,5,5,3,3,4,4,3,5,5,5,5
500082772,9.1,9,10,10,8,10,9,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4
50010326,6.2,4,4,4,4,8,7,4,3,1,5,3,2,2,5,5,5,5,5,5,5,5,5,5
500106041,8.2,6,6,8,8,6,6,4,4,3,4,4,4,5,3,4,3,4,4,4,4,4,4,4
500108348,7.2,8,8,7,7,6,7,3,4,4,3,2,4,4,4,3,2,3,4,4,4,4,4,4
500109805,8.8,10,9,9,8,8,7,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,4,5
500108601,7.9,8,7,8,8,7,9,3,3,3,4,3,4,2,5,3,5,2,5,5,2,5,4,5
500107098,8.1,10,10,10,8,8,8,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
500108342,7.9,8,8,7,8,6,6,4,5,4,5,5,5,5,5,5,5,4,5,5,4,4,5,4
500082524,8,9,6,9,6,10,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
500107769,8.2,9,6,8,8,9,7,5,4,3,4,2,5,2,2,2,4,4,5,5,2,5,1,1
500102244,7.5,8,6,8,8,8,6,5,4,3,4,3,4,4,3,4,3,4,5,4,4,4,2,3
